SPECIES,LATITUDE,LONGITUDE
KANGAROO,-35.32162085,149.1105811
KANGAROO,-35.3045027,149.0634346
KANGAROO,-35.30968338,149.0616932
KANGAROO,-35.2767928,149.0764697
KANGAROO,-35.30198538,149.1545761
KANGAROO,-35.28822724,149.167888
KANGAROO,-35.40641006,149.1402601
KANGAROO,-35.29158836,149.1702498
KANGAROO,-35.16066405,149.0617164
KANGAROO,-35.32544742,149.0898984
KANGAROO,-35.40850481,149.1364889
KANGAROO,-35.3444555,149.1387008
KANGAROO,-35.34684814,149.120474
KANGAROO,-35.38390191,149.0922742
KANGAROO,-35.39309306,149.0431471
KANGAROO,-35.23428445,149.0893849
KANGAROO,-35.29734474,149.0036086
KANGAROO,-35.24970944,149.0750791
KANGAROO,-35.4319401,149.0765188
KANGAROO,-35.42912171,149.0856777
KANGAROO,-35.42905868,149.0859548
KANGAROO,-35.44092789,149.087261
KANGAROO,-35.43935145,149.0890806
KANGAROO,-35.197739,149.1309503
KANGAROO,-35.29314285,149.1710466
KANGAROO,-35.44058113,149.0936637
KANGAROO,-35.30859005,149.119801
KANGAROO,-35.23967356,148.9924807
KANGAROO,-35.15687534,149.1417281
KANGAROO,-35.16764925,149.0600352
KANGAROO,-35.27816243,149.0804829
KANGAROO,-35.27976457,149.0855763
KANGAROO,-35.22469442,149.0614678
KANGAROO,-35.17094985,149.118472
KANGAROO,-35.32055523,149.0615989
KANGAROO,-35.24200244,149.1940057
KANGAROO,-35.23776723,149.1974396
KANGAROO,-35.23772361,149.1972505
KANGAROO,-35.22186891,149.1746424
KANGAROO,-35.32267235,149.3808304
KANGAROO,-35.39907437,149.1517348
KANGAROO,-35.39925942,149.1515057
KANGAROO,-35.22196512,149.1206848
KANGAROO,-35.38592621,149.0963756
KANGAROO,-35.28738183,149.165804
KANGAROO,-35.16446146,149.1345458
KANGAROO,-35.37185693,149.0946017
KANGAROO,-35.37719884,149.1030419
KANGAROO,-35.38591279,149.116335
KANGAROO,-35.26260752,149.2631634
KANGAROO,-35.29250712,149.1707056
KANGAROO,-35.24875196,149.0760298
KANGAROO,-35.44097587,149.1219211
KANGAROO,-35.40451173,149.1267239
KANGAROO,-35.39267605,149.1080978
KANGAROO,-35.3595535,149.10355
KANGAROO,-35.40872798,149.1339177
KANGAROO,-35.27976585,149.1517308
KANGAROO,-35.38228405,149.0933195
KANGAROO,-35.25014908,149.1550136
KANGAROO,-35.16681355,149.1427506
KANGAROO,-35.25175734,149.1772185
KANGAROO,-35.25638691,149.1503239
KANGAROO,-35.42536153,149.0691289
KANGAROO,-35.31265187,149.0881083
KANGAROO,-35.22387132,149.1683012
KANGAROO,-35.289402,149.1689096
KANGAROO,-35.25284006,149.1892986
KANGAROO,-35.44539264,149.1077492
KANGAROO,-35.3112871,149.0320065
KANGAROO,-35.33070176,149.080304
KANGAROO,-35.44388373,149.1004795
KANGAROO,-35.44554668,149.1041523
KANGAROO,-35.44388882,149.1163682
KANGAROO,-35.37892497,149.0757626
KANGAROO,-35.15990504,149.1475966
KANGAROO,-35.23427365,149.0901996
KANGAROO,-35.27473298,149.0757332
KANGAROO,-35.27698057,149.0760069
KANGAROO,-35.28253502,149.1484565
KANGAROO,-35.2487159,149.0755601
RED NECKED WALLABY,-35.27081669,149.1815823
KANGAROO,-35.21338085,149.1969129
KANGAROO,-35.27901004,149.0825189
KANGAROO,-35.3922579,149.1027408
KANGAROO,-35.35265438,149.139507
KANGAROO,-35.34487906,149.1471497
KANGAROO,-35.40755042,149.1375947
