species,lat,lng
kangaroo,-35.412562,149.0613892
kangaroo,-35.31914974,149.1126956
kangaroo,-35.27288424,149.1425544
kangaroo,-35.41191071,149.0615353
kangaroo,-35.40347732,149.0620864
kangaroo,-35.33651542,149.1217577
kangaroo,-35.15912749,149.1513036
kangaroo,-35.45579515,149.0781222
kangaroo,-35.3270162,149.2382424
kangaroo,-35.15377359,149.1432304
kangaroo,-35.29151723,149.1700763
kangaroo,-35.37606677,149.0939405
kangaroo,-35.26731909,149.1968479
kangaroo,-35.27318316,149.1423143
kangaroo,-35.40309616,149.0633115
kangaroo,-35.23421272,149.0898893
kangaroo,-35.33079234,149.1304903
kangaroo,-35.33109672,149.0101726
kangaroo,-35.3282759,149.0595771
kangaroo,-35.35084873,149.135358
kangaroo,-35.15213433,149.1445332
kangaroo,-35.38087973,149.0783143
wallaroo,-35.32791582,149.0171182
kangaroo,-35.32205263,149.0639586
kangaroo,-35.34452482,149.1377652
kangaroo,-35.38439787,149.120066
kangaroo,-35.3379575,149.1040149
kangaroo,-35.29503387,149.0599172
kangaroo,-35.3768114,149.1092204
kangaroo,-35.43138667,149.0868421
kangaroo,-35.44357842,149.0997279
kangaroo,-35.26882462,149.1961227
kangaroo,-35.23360317,149.1951917
kangaroo,-35.23388475,149.0209751
kangaroo,-35.25959353,149.093191
kangaroo,-35.21685484,149.1942005
kangaroo,-35.4058969,149.0637683
kangaroo,-35.34396239,149.1516086
kangaroo,-35.42655773,149.0737459
kangaroo,-35.38482173,149.0949213
kangaroo,-35.17442617,149.0626028
kangaroo,-35.26889313,149.1429055
kangaroo,-35.2969994,149.0005141
kangaroo,-35.36318537,149.0818555
kangaroo,-35.29616986,149.0026027
kangaroo,-35.46546753,149.1040403
kangaroo,-35.34778575,149.0719039
kangaroo,-35.37178005,149.0981404
kangaroo,-35.32730502,149.0019504
kangaroo,-35.20297736,149.1326398
kangaroo,-35.27401547,149.0759246
kangaroo,-35.181616,149.0738882
kangaroo,-35.31649263,149.073063
kangaroo,-35.32143742,149.0577367
kangaroo,-35.26131744,149.1359863
kangaroo,-35.3563681,149.0754121
kangaroo,-35.23785173,149.1662371
kangaroo,-35.38643096,149.1423486
kangaroo,-35.37032298,149.1306468
kangaroo,-35.38455082,149.1165778
kangaroo,-35.31363453,149.0626047
kangaroo,-35.32714382,149.0474079
kangaroo,-35.3762131,149.0929102
kangaroo,-35.38130795,149.0434335
kangaroo,-35.32609636,149.063793
kangaroo,-35.27173331,149.0880698
wallaby,-35.30953147,149.119693
kangaroo,-35.3453166,149.1147134
kangaroo,-35.2616626,149.0676142
kangaroo,-35.15366311,149.1221014
kangaroo,-35.25950103,149.0929824
kangaroo,-35.43268298,149.0938616
kangaroo,-35.41957724,149.0623411
kangaroo,-35.31943012,149.1131186
kangaroo,-35.40996087,149.0622666
kangaroo,-35.23619702,148.9981083
kangaroo,-35.3157203,149.077193
kangaroo,-35.32569113,149.01224
kangaroo,-35.21932555,149.1953507
kangaroo,-35.28782082,149.1666725
kangaroo,-35.28091966,149.1468038
kangaroo,-35.27136884,149.0751896
kangaroo,-35.31239002,149.120596
kangaroo,-35.32162085,149.1105811
kangaroo,-35.3045027,149.0634346
kangaroo,-35.30968338,149.0616932
kangaroo,-35.2767928,149.0764697
kangaroo,-35.30198538,149.1545761
kangaroo,-35.28822724,149.167888
kangaroo,-35.40641006,149.1402601
kangaroo,-35.29158836,149.1702498
kangaroo,-35.16066405,149.0617164
kangaroo,-35.32544742,149.0898984
kangaroo,-35.40850481,149.1364889
kangaroo,-35.3444555,149.1387008
kangaroo,-35.34684814,149.120474
kangaroo,-35.38390191,149.0922742
kangaroo,-35.39309306,149.0431471
kangaroo,-35.23428445,149.0893849
kangaroo,-35.29734474,149.0036086
kangaroo,-35.24970944,149.0750791
kangaroo,-35.4319401,149.0765188
kangaroo,-35.42912171,149.0856777
kangaroo,-35.42905868,149.0859548
kangaroo,-35.44092789,149.087261
kangaroo,-35.43935145,149.0890806
kangaroo,-35.197739,149.1309503
kangaroo,-35.29314285,149.1710466
kangaroo,-35.44058113,149.0936637
kangaroo,-35.30859005,149.119801
kangaroo,-35.23967356,148.9924807
kangaroo,-35.15687534,149.1417281
kangaroo,-35.16764925,149.0600352
kangaroo,-35.27816243,149.0804829
kangaroo,-35.27976457,149.0855763
kangaroo,-35.22469442,149.0614678
kangaroo,-35.17094985,149.118472
kangaroo,-35.32055523,149.0615989
kangaroo,-35.24200244,149.1940057
kangaroo,-35.23776723,149.1974396
kangaroo,-35.23772361,149.1972505
kangaroo,-35.22186891,149.1746424
kangaroo,-35.32267235,149.3808304
kangaroo,-35.39907437,149.1517348
kangaroo,-35.39925942,149.1515057
kangaroo,-35.22196512,149.1206848
kangaroo,-35.38592621,149.0963756
kangaroo,-35.28738183,149.165804
kangaroo,-35.16446146,149.1345458
kangaroo,-35.37185693,149.0946017
kangaroo,-35.37719884,149.1030419
kangaroo,-35.38591279,149.116335
kangaroo,-35.26260752,149.2631634
kangaroo,-35.29250712,149.1707056
kangaroo,-35.24875196,149.0760298
kangaroo,-35.44097587,149.1219211
kangaroo,-35.40451173,149.1267239
kangaroo,-35.39267605,149.1080978
kangaroo,-35.3595535,149.10355
kangaroo,-35.40872798,149.1339177
kangaroo,-35.27976585,149.1517308
kangaroo,-35.38228405,149.0933195
kangaroo,-35.25014908,149.1550136
kangaroo,-35.16681355,149.1427506
kangaroo,-35.25175734,149.1772185
kangaroo,-35.25638691,149.1503239
kangaroo,-35.42536153,149.0691289
kangaroo,-35.31265187,149.0881083
kangaroo,-35.22387132,149.1683012
kangaroo,-35.289402,149.1689096
kangaroo,-35.25284006,149.1892986
kangaroo,-35.44539264,149.1077492
kangaroo,-35.3112871,149.0320065
kangaroo,-35.33070176,149.080304
kangaroo,-35.44388373,149.1004795
kangaroo,-35.44554668,149.1041523
kangaroo,-35.44388882,149.1163682
kangaroo,-35.37892497,149.0757626
kangaroo,-35.15990504,149.1475966
kangaroo,-35.23427365,149.0901996
kangaroo,-35.27473298,149.0757332
kangaroo,-35.27698057,149.0760069
kangaroo,-35.28253502,149.1484565
kangaroo,-35.2487159,149.0755601
wallaby,-35.27081669,149.1815823
kangaroo,-35.21338085,149.1969129
kangaroo,-35.27901004,149.0825189
kangaroo,-35.3922579,149.1027408
kangaroo,-35.35265438,149.139507
kangaroo,-35.34487906,149.1471497
kangaroo,-35.40755042,149.1375947
kangaroo,-35.30864491,149.0310815
kangaroo,-35.25140561,149.1749364
kangaroo,-35.40826698,149.1259657
kangaroo,-35.34441206,149.1354066
kangaroo,-35.26072439,149.1476461
kangaroo,-35.16215319,149.1448721
kangaroo,-35.335479,149.0526264
kangaroo,-35.33316242,149.1617563
kangaroo,-35.22123202,149.1752523
kangaroo,-35.4735215,149.1038622
kangaroo,-35.30102217,149.0660557
kangaroo,-35.27482334,149.0757266
kangaroo,-35.38732935,149.1215752
kangaroo,-35.21918583,149.1184319
kangaroo,-35.466816,149.0911164
