road,lng,lat,species,count
SULWOOD DRIVE,149.0947088,-35.38489947,eastern grey kangaroo,52
SULWOOD DRIVE,149.0956038,-35.38519062,eastern grey kangaroo,52
TRELOAR CRESCENT,149.1466015,-35.2806202,eastern grey kangaroo,52
WOODCOCK DRIVE,149.0873154,-35.44074153,eastern grey kangaroo,52
FAIRBAIRN AVENUE,149.1670495,-35.28792598,eastern grey kangaroo,52
ARMBRUSTER STREET,149.0873696,-35.4406873,eastern grey kangaroo,51
HINDMARSH DRIVE,149.1149274,-35.34529847,eastern grey kangaroo,51
CRETE ROAD,149.167055,-35.28772512,eastern grey kangaroo,51
CRETE ROAD,149.1677957,-35.28809222,eastern grey kangaroo,51
SULWOOD DRIVE,149.0958249,-35.38528298,eastern grey kangaroo,51
ARMBRUSTER STREET,149.0874174,-35.44059542,eastern grey kangaroo,51
ARMBRUSTER STREET,149.0877771,-35.44040749,eastern grey kangaroo,51
HINDMARSH DRIVE,149.1151649,-35.34547783,eastern grey kangaroo,51
SULWOOD DRIVE,149.0955703,-35.38526491,eastern grey kangaroo,51
ARMBRUSTER STREET,149.087352,-35.440839,eastern grey kangaroo,51
HINDMARSH DRIVE,149.115204,-35.34547127,swamp wallaby,51
CEREMONIAL ROAD,149.1710125,-35.29304263,eastern grey kangaroo,51
CRETE ROAD,149.167057,-35.28785248,eastern grey kangaroo,51
CEREMONIAL ROAD,149.1710651,-35.2931403,eastern grey kangaroo,51
FAIRBAIRN AVENUE,149.1677957,-35.28809222,eastern grey kangaroo,51
HINDMARSH DRIVE,149.1149207,-35.34539168,eastern grey kangaroo,51
KENT STREET,149.0965605,-35.32539983,eastern grey kangaroo,51
SULWOOD DRIVE,149.0958249,-35.38528298,eastern grey kangaroo,51
ARMBRUSTER STREET,149.0874174,-35.44059542,eastern grey kangaroo,51
HINDMARSH DRIVE,149.1152604,-35.34559423,eastern grey kangaroo,51
WOODCOCK DRIVE,149.0877289,-35.44032866,eastern grey kangaroo,51
FAIRBAIRN AVENUE,149.1710651,-35.2931403,eastern grey kangaroo,51
KENT STREET,149.0965605,-35.32539983,eastern grey kangaroo,51
FAIRBAIRN AVENUE,149.1710125,-35.29304263,eastern grey kangaroo,51
HINDMARSH DRIVE,149.1147134,-35.3453166,eastern grey kangaroo,50
CEREMONIAL ROAD,149.1710466,-35.29314285,eastern grey kangaroo,50
SULWOOD DRIVE,149.0960498,-35.38524542,eastern grey kangaroo,50
GENERAL BRIDGES DRIVE,149.171064,-35.29293263,eastern grey kangaroo,50
HINDMARSH DRIVE,149.1149494,-35.34539878,eastern grey kangaroo,50
SULWOOD DRIVE,149.0959596,-35.38559522,eastern grey kangaroo,50
SULWOOD DRIVE,149.0958292,-35.38527613,eastern grey kangaroo,50
FAIRBAIRN AVENUE,149.171541,-35.29310862,eastern grey kangaroo,50
SULWOOD DRIVE,149.0956336,-35.38506566,eastern grey kangaroo,50
ARMBRUSTER STREET,149.0879185,-35.44037458,eastern grey kangaroo,50
CRETE ROAD,149.1678995,-35.28831882,eastern grey kangaroo,50
HINDMARSH DRIVE,149.1147051,-35.34537719,eastern grey kangaroo,50
SULWOOD DRIVE,149.0956247,-35.38509796,eastern grey kangaroo,50
SULWOOD DRIVE,149.0957426,-35.38524969,eastern grey kangaroo,50
HINDMARSH DRIVE,149.1153175,-35.34544035,eastern grey kangaroo,50
SULWOOD DRIVE,149.0960068,-35.3853895,eastern grey kangaroo,50
SULWOOD DRIVE,149.0957426,-35.38524969,eastern grey kangaroo,50
SULWOOD DRIVE,149.0956336,-35.38506566,eastern grey kangaroo,50
SULWOOD DRIVE,149.095954,-35.38544723,eastern grey kangaroo,50
KENT STREET,149.0967558,-35.32396156,eastern grey kangaroo,50
HINDMARSH DRIVE,149.1153175,-35.34544035,eastern grey kangaroo,50
CRETE ROAD,149.167888,-35.28822724,eastern grey kangaroo,49
CRETE ROAD,149.1677875,-35.28837182,eastern grey kangaroo,49
LIMESTONE AVENUE,149.1463617,-35.28085354,eastern grey kangaroo,49
ARMBRUSTER STREET,149.0878664,-35.44028011,eastern grey kangaroo,49
FAIRBAIRN AVENUE,149.1712729,-35.29333982,eastern grey kangaroo,49
HINDMARSH DRIVE,149.1154114,-35.34521548,eastern grey kangaroo,49
KENT STREET,149.0959646,-35.32509088,eastern grey kangaroo,49
LIMESTONE AVENUE,149.1468009,-35.28065595,eastern grey kangaroo,49
KENT STREET,149.0963405,-35.32543149,eastern grey kangaroo,49
ARMBRUSTER STREET,149.0877901,-35.44025247,eastern grey kangaroo,49
LIMESTONE AVENUE,149.1466069,-35.28066743,eastern grey kangaroo,49
FAIRBAIRN AVENUE,149.1714142,-35.29325412,eastern grey kangaroo,49
HINDMARSH DRIVE,149.1157119,-35.34537238,eastern grey kangaroo,49
